city,state,date,lCCN,text,title
['New York'],['New York'],19200222,sn83030214,"An unusual and strik
ingly artistic view of the
Washington Monument
as seen through the
graceful columns of one
of the Capitol's architec
tural niasterpieees. The
brilliant lighting of the
top of the shaft is
caused by the rays of
the late afternoon sun
shining on it through a
rift in the clouds.
.1 III. Tl'< llil I'llDll) St llll'l
Left?A typical Chinese
taxi (one coolie power
motor. which frequent
ly stalls) with its load
of three passengers on
their way down town to
do some shopping. Sam
Lee seems to have dith
culty trimming ship with
the two Celestial beau
ties on the other side of
their single non-skid
...U....I _l-i.__
The French eapture Berlin!
These snappy poilus, equipped
with portfolios rather than
rifles, are menihers of the
French mission assigned to see
to it that Germany adheres
strictly to the tei
peace treaty.
any auneres y
irms of the/
Pei/ullian I i
Left?The very latest in mono
grams. Paint your initials on
your back and then sit in the
sun until your shoulders are
thoroughly tanned. Wash off
the paint and the trick is done.
At least that is the way this
San Francisco beauty recom
mends. Kcwtone vu-w
Right?The Rev. J. A. Johnson,
who has startled New Hamp
shire by donating $1,000 to pro
mote boxing at Dartmouth.
Boxing is having great popu
larity among: the wearers of the
green and the money will prob
ably be used for special prizes.
Keystonv View
r?-?
The widow of Oscar Hammer
stein, who has the distinction
of being the only woman im
presario in the world, has re
gained control of the Manhat-^
tan Opera House and will man
age it next season.
Keyxtunt I'irto
%
Left?-Close confinement of the ani
majs in a London menagerie is not
conducive to the beasts' best health,
so their keepers have taken to giving
them ainngs via motor car. How
would you like to take a leopard for
a taxi ride? , .
micmational
U. S. Customs inspectors disclose a
clever ruse for smuggling whisky.
Ingenious bootleggers in Cuba hide
several gallons of the real stuff in
turpentine cans but Uncle Sam's de
teckatives foil the villains on the ar
rival of the worth-its-weight-in-gold
cargo at the port of New York.
Kadel i Herbert
fWi o7""V]?Cle Ram'8 heati as drawt1
oy 180 nfle shots on a target in iust
three minutes by ""Ad"" Topperwein,
reputed to be the world's greatest
nrle shot. Some shooting!
Kryatone View",New-York tribune. [volume]
['Sacred Heart'],['Oklahoma'],19070201,45043535,"1
li
it
6
THE INDIAN AUyuGATt-
I i
were the common people are not men at $11,, but wretched
being? that partake of the man and the brute, and, hav,e no
right whatever to human consideration. Cato went so faras
to discuss the kind of food that suits the slaves, and as for
Seneca, it was on a golden desk that he wrote his pages on
the beauty of poverty If mankind had followed their teach
ing, you would be to-day a black mule-driver in Central A
merica or a yellow-skinned humpback Chinese coolie inAtead
of a hopeless garbler of cheap literary junk.""
Roar of laughter. One of the drummers turning towards
another; ""Did'nt I tell you that you can't beat these priests?
They are the limit."" ""you bet your suspenders they are,""
rejoins the other.
""Well.. ..er.. ..that may be,"" retorted Ingersoli, ""but we
agnpstics believe in virtue for its own sake, you Christians
to avoid hell and go to heaven.""
""Then why don't you work free of charge for your fellow
men and stay, at home, instead of making money to enjoy ho
lidays? By the way,I see you are smoking a citar. You know
that Uncle Sam has collected revenue on that. Suppose he
made. taxes on tobacco optional, relying on the enlightened
good-will of the people for their payment. Suppose oun
laws were not enforced in the shape of -solid prison-bars and
the gallows, what would happen?
""Why, that would be anarchy. You cannot rely on the
people If he-did not see to it that the law is observed,.
Uncle Sam would be a consummate fool.""
""And you are making one out of your own self just now, my.
pcor friend. If the wise law-maker has to enforce the law
and you cannot rely on the people, then, out of your o.wn
mouth, there must be a heaven and a hell.""
""Hi, hi, hi ha, ha, hal you are caught, old man1"" ex
claim the drummers, ""you are caught in your own trap. You hadi
better tackle another job. Here, have a, drink and cheer up
for the next round.""
Ingersoli declined the Kentucky and scratched his head
instead. Then he began to mumble the following:
""You Catholics are hopeless visionaries, any way. You, spend1.",The Indian advocate.
['Chicago'],['Illinois'],19111230,sn83045487,"y -nriw
PRESIDENTSWTENDS
FIRSTcSTATEDIINER
Shanghai- Dec) J.3p'.--D'r. Sun
Yat Sentrehdedfhfe""first formal
of CMiiatakfninJ4;-' '; '
The ' dinner wak:ihthjp""-honor,
and was'-attendedby .pfcactically
allf'therev5iut5bjiafy,leaders-in
Shanghai. .-"" ..
As therdiniie'r-I.pT1ogTessed,
assuring himfoftheIl6Yalty-.of the
.isOJ t fO-i :-5cr .""
' ' i
1 ' .'-' J-ML'U
-r vVt.
Dr. Sun Yat Sen.
people of ChJrta to the'new gov
ernment, .born that day.
President Sun ""was 'called on
for a speech after the dinner. The
man who -worked for twenty
years to make his dream, of a ""free
China come true, was so,, embar
rassed he could hardly Italk. He
thanked those Hvho. ha'd 'gathered
to do him honrir,Landx;verit!on:
""ChinaTs about 'tb center. upon
anera of prosperity and .content
ment that she has-never enjoyed
in all herdong history
""There is no doubt in'my mind
that the actionf the provisional
military assembly in electing ine
President will be ratified by the
national convention, -which 'un
doubtedly will declare, for' tKe
republic. '
""I am receiving offers of sup
port fro m many province's. Even
the imperialists will -come over
with us soon. ,.'.
""Peace is asstfred for China,
and there .will be an, hundredfold
increase in -business- within the
next- few,manths. ' ,
""T""he 'work of placing the new
gqvernjrjent- on a solidbasis nat
urally willrbe. t tedio'us, . but we
shall dvercome all obstacles.""
- A dispatch received' here from
Tokio says ( that' the Maiichu 're
gent,! Prince Chun,( has fled from
Pekiit disguised as a coolie, and
has taken the boy emperor with
him.
The empress dowager has
sworn to stay in Pekin until that
city falls .befpre the republican
forces. But her Manch'u kinsmen
are fleeing in large numbers, fear
ing execution should they fall in
to the hands of the Chinese. .
Lingering-Resentment.- '"".
""Why are you so bitter against
everv person charged with smug
gling?', . .-
""Because,"" replied Mr. GroucH
er, ""I once tried to smoke a box
of cigars I bought from aped
dler who said he had) smuggled
them."" Washington Star,""
,",The day book. [volume]
['Washington'],['District of Columbia'],19271215,sn83045462,"“I don’t know what to give.” If such is your S ), . . , x 5 I A Consultant-Expert
T» « “>« «*»« • MER ‘ ■II IT 1 V %. J| ’ 4\}4 From Primrose House
•dmirabljr. You can purch.se them a. any of TTI|T IT IT TIT ff II Jim ll||T TT‘ I TTT M ’ ss a Nid ' olk F w Phonal advice
he Service Desks or at the Cashier s Office. as to your beauty problems—suggesting the
jl rryj S~l7 * > JJS correct Primrose House Toiletries for your
«#-/ fie Christinas c>toro w z~
__ An Unusual Christmas Offering (V^
Japanese Coolie Coats, Hour! Coats, Quilted Robes |w\
\ Pullman Robes and Negligee Pajamas
Furniture is the Gift . Never before have we hcl such an extensive collection of Japanese I /V^S§ic^|^
/v * # gJdIW I coats, robes and pajamas. They have arrived in time for the I \f
Ol linciurinjj Cdlcirm ■ Christmas shopper who wishes to give something striking. If I M
/jj A7 ■ you are looking for a negligee or lounging pajamas, this collection M ' /%iA?/ £ /'■/' }
itlis all the B ,)^ sonie^ 1 ” Coolie Houri coats make # B
M her/’for ”hun” or for any one else on yotir mmmhhmmm Jd-ptUICSC RobcS
Bridge Tables in many styles, $3 to $27.30. * \ m^ Exquisite of printed I I An Ideal Christmas Gift
Smokers* stands, with fittings. $3.50. ■ A k ' I 7m hr oil * uulTeS I J L H wHNSO Smart Printed Sra rs«
Foot Stools; a colorful model, $2. \f ft- r j\\ Ij\ I painted or printed. Rol»e— H f\ \ / iJlllix! vA I llllvU w/vdl Iw
Decorated Magazine Boxes. $2.50. ' l\ rmllroid'-rr.! Specially $ J .95
Popular Windsor Chairs,"" $6.75.
Tu Cm VTabl, M.v, As ThisCxctfliaaotly Law Price. Wt
Holiday Dress Goods I B"" 50 Women's Silk
In atPactive boxes, especially XU*rm
made for Christmas giving Quoted ■ , || VJ|k|J \ , ■ $25 and $ 35 UmbrCllaS
Does she have time to do a little sewing? XxODCSj 3d vO O V / / \ \\ B black satin lounging pajamas o . I $0.75
Then she will surely appreciate receiving Japanese hand-quilted rpbes of ■ i 1 K wlf 1 \ \\ 9 are made distinctive with gold &D@Cl(ll *7
• -nv nnr of the lnvelv tiaftorns nir line Japanese silks and brocades 1 / \ ■ W 1 , | ■ \ \ ■ dragons embroidered on the j
° ,K th ® lo ' el > 1>? tterns ” iat . odr are warmly interlined and silk ■ { [\A ll « 4 ) \\ ■ coat and gold embroidery on
C otton Dress Goods Section IS offering— lined. One is elaborately cm- I M ■ I•\ V ▼ ■ / M V ,hp cuffs of t,lc tro V. seT *- TU*r* SO of theep fin# *ilk i.m
alreadv boxed as a gilt. l>roidered. There are manv \| » I V * 1 liey are lined and unlmed. ‘here are just Mi of these nne SI kUm
styles—the one sketched is of \t‘ Pajamas—sketched—a r e un- brellas —and as umbrellas are a popular gut
/ 5 yards, 36-inch Printed Percale. $1.40. voTc brocade silk, S3O. \ I H lined, $25. item—we urge you to see them the first
4 yards, 36-inch Printed Percale. $1.12. ■ L-rs!J ■ . thing tomorrow-(or they wfil sell quickly
.5 yards. 32-inch Printed Zephyr. $1.40. Pullman Robe, with Slippers Or Capß U 7 I Coolie and Houri Coats quSry e ! ¥k?w”t'h selfZ fancy b?rd«s‘ U with I
- 4 yards, 32*mth Printed Zephyr, $1.12. V \ / ' B - S9O t-r\ imitation quartz, amhertone and pais pearl #
4 yards, 32-inch Printed Zephyr. SI.BO. ■ \ 9 •P&U CO 4'3U (manufactured) handles; tips and ferrules to T
3 yards. 32-inch Printed Zephyr. $1.35. These plain-colored Japanese silk robes, with either a 9 J I ■ Gay little coats from Japan, so delightful in color, so chic match. #
* Corrosf Dhess Goods Sbction. Second Floor. pair of dippers or a cap to match, are neatly folded in a 1 J j I in outline that they are smart not only in the boudoir, Rlartr fl P ## n Rrrm/n Red §
small silk case—that is most convenient for traveling. V /Q l I but in the evening and on the beaches. Coolie Coat — oiacK ween orown iveo
In wanted colors. The gift for the traveler. Pullman 1 \ ff sketched—is of bright blue silk, with a colorful border Navy Purple
robe—sketched—with bag. slippers, sl2. and shoulder design. $25. lmbwbcl* sbction, Firm- Floo*.
Xec.ligee Section. Third Floor. ’ M
Imported Linen - R"" I
Handkerchief Squares Reproductiofis of 01j[
Reai This Very Special Gift Selling of D “ tch Silvef *
n , r * < %i 50 I$ A at Specially Lowered Prices
Lostume Jewelry, V , 2 and 4 $2-50 $3.50 $5
I Sr ‘t;
Will Prove of Exceptional Interest lightful pieces that are reproductions of Old
Men's Handkerchief Squares, of pure Irish ' • Dutch Silver. at specially lowered
linen, with colored borders, white borders , . o • f pnces—which offers the unusual opportunity
and smart woven borders. Prices Much Less than _ 11 _ ODCCICII I oi buying them yery reasonably in time to
19-inch r~r\ I I /ipN Jr give them for Christmas gifts.
squares JvJC Regularly A | ft Ip i < A Few of the Pieces in this Collection
White Goods sbction, Second Floor. , /H\ I # I /TV dil \ Tea Caddies Candy Jars Novelty Boxes
Q£L X I Km- Jl lo • c ig .«««. B,x«^ J Smoking sL
cost —anti it is only through an on- wlk I ■ Pendant Necklaces oipt section. ss,-,nth f.,00«,
T < s* 4 o ceptional purchase that we are able [())■ \ 2 Chokers
Imported Celery Sets :£Sr^ tn k I Bracelets
$2- 25 and $ 5 I T | Wll I Two Gfts Boys Likc
These brightly colored trays with their six Lr 7rk . I Windbreakers H 5
individual matching salt dips are gifts of tin-' ThC costume jewelry conics from the \w ’* Hnft ™ 11AV4W/A w*lr f
* usual attraction—at prices that the mod- best known makers of costume \ O » SZT
erate Christmas budget permits. You mav jewelry in the country—whose goods /DfW 9 \ uWCEtCf S;
choose from several different decorations. we sell regularlv in large quantities (fff Yn SVir>/'/V//
China sbction, Fifth Floor at - times. Von will find these ¥ ■ ’ K OJJL CIUI Boys’Windbreakers-ofsoft.sturdycape
at all times. You will find this jewelry (B) \ 9HP' skin—that will withstand all sorts of wear
exceptional quality. ' W ± — an< l W ®°l lined—to withstand all sorts of
)\v H| A iUj< | JL cold weather. It’s the gift for Boys. In
fMj black
Dl9[ DOy f Pendant Necklaces Sweater*—in the popular light-weigh t
° _ ' 4 i\ClL\ W anted Styles mm M rbnWrß cricket styles of all wool. 11l a wide range
Tlffmrv I 4s*lrc SB fvtgL &j! v - v-noKers () f designs and colors—that boys like to
u ip i iULJvo j n tyide Variety Hk o j@f/ Bracelets wear. Sizes 6to 16 years.
$^ # 75 U ] * . _ t One and Two Strand bot*- sbction, focrth floor.
Sturdy, dependable trucks are these, with unusual earrings, large loop ear
rubber tired disc wheels, a steering gear that rings, heavy gilt-link chain, with j 97 \dl u*. fl
actually controls the front wheels and a carved amber-like pendant; delicate \V>S&V rs * j Ts. |jj
crank lifting device. At this special low filigree sterling silver earrings, with m (vßw* j JfjsJ &JJOCIQ l j *\\\ jr \y \
price we only have a limited number, so colorful links; barbaric bracelets, m VH / % / Af’
shop early to make sure that your boy won’t snakelike necklet, w'ith colored links: V M tf* A V| / \
b. i InriMm., noni.g. J.lii.i .'ili 1i.n,,,t. -.ill ■
Xovrltt Jbwei.r/ Sbction, First Floor. Filigree Bracelets
* i i
TTIK KVKXTXG ST.VB. WA SHTX CTOX. P C.. TH CP SHAT. TiF.CKVmEP 15. 1027.
29",Evening star. [volume]
['Washington'],['District of Columbia'],19280617,sn83045462,"oppoeidnity week""!
Monday—Second Day of .\ Kll % JT /> I Monday—Second Day of 1 ;
THE SIX-DAY SALE WASHINGTON [%/■ 5~'C llf I|A AVI 8 I I THE HLSTORY-MAKING EVENT
NEVER FORGETS! If I III%\ V I%L/ CV V #J OF OUR INSTITUTION
Offering Hundreds of Pieces of Spic, Span, . I Another Day of Irresistible Bargain
New. Specially Purchased Merchandise G w STREET BETWEEN 11 tK & fell | Opportunities for Thrifty Shoppers
*
• Gay, Glorious Frocks *
Amazingly Low
1 Priced!
W i \ /$ Frocks •
f / /') /&/ -Street Wear!
'/ /£y Party Wear!
/§/ Afternoons! / M^' jr^'/TN \
J- // Business Wear! f •
/*jt/ Theater Wear! ' 44 ; J \ > :r
Specially Purchased for I / /'I
X T 3 EAUTIFUL Ensembles n many glorious colors. See
r ID them in all their fresh shimmering beauty ... the W&j Lrifjjffc' '
Paris details . . . the exquisite {ahrics. Long and I I
short sleeve models . . . Frocks very fluttery .. . Ts 111 il IlivmtmX
Frocks very tailored .. . fascinating new tiers .. . ft i iH 1 ItpPlV
elaborate tuckings and pleats .. . lovely jabots .. . / f l'a j u Tig j •
bows .. . ruffles .. . cape collars .. . bertha collars Siffi TmH : f i : £L • Ikl .
. . . scarfs . . . Just imagine the VARIETY . . . Over
Every Conceivable Shade! An '
Sizes for Larger Women —46 to 60 Abundance of Exotic Prints r
J Floor Dress | \^.
InHHI ""... r. . n ... ,X«\ Made to Sell at $4.00 and $5.00 j-T
'■ Sdk Coats! Broadcloths! \\ Hundreds to Choose From HTT MJ iwl
. 1/ f t n * .CJ f VraX Jaunty new Sport and Tailored Mats of B H J H H B
;> _ _ 'h K.OLBnCIB* tOllFBt SnCCTIS • no { t Summer felt. ~ . Only HI B I
. 1 (/bujuol Sbbiii.i
*'kljTfo, n Mom Mt A Wonderful Special Purchase o( No\-eifh"".'Wt Qh Ift / C
; /g/' w. /”x ,* Kay °"" ra » amaß I Coolie »\ ■! ||l .;
I|j is mouses JW / i y coats ifi |
/A Htgularly quality Rayon, Trimmer! with J Hoar \
/ j For Women
/ 4 Fnr l\!rrfer \ haautif.illy varied of novslty print • I \ / I ' Idaal for batch dr boudoir. Is Uneiful print.
THE BUKPAY STAR. WASHIKOTOIff, P. C.. .TTOE 17, 1928-PART 3.
11",Evening star. [volume]
['Washington'],['District of Columbia'],19260711,sn83045462,"8
0
f ' ■ * -
. ■ ■ • i ■ . . . , ~> . ■. .v / ■....
' ■;> •- •’ .* • * ■ t . ■ ' • • ’.*.•# • •_ ,
, / v • ’
A Dodge Brothers Sedan
r» .
> ■ ■ .
Sff ■ ' I m
■ ' p
- ', H;. ' h ' • •».
IB m m
■_,. ; ■ m
1 •""••-■' ■•' • M m
■ |B m
W- - •< ■ K
-■ - K
MS WR m
• ■- . v , , '- - —•
f. K '\,
ECLJBL Detroit /
>
car now sells for *895. m&stmdy \
«*?s-, ; . ' „
Tbeyhave heard so much about its exceptional value that
they are under the impression it sells for a higher price.
. . % «Bfej|Kp t “ "",
Moreover,.the Sedan theroominess' and char
-s==r~ acteraf closed cars that call for a much greater investment -
... . V * \ • ' * .
.i v ' ■ , It in appearance because iHs substantial ito
.., fact And serves its owners far beyond theperiod usually
-.. expected of a carat any price. ,
The body is all steel-fsafe, sturdy, fireproof, and smarter
- ■’ / finished bdow the belt line in coolie blue lacquer, with car
touche yellow stripe—upper body in black lacquer—shields
and fenders in black, oven-baked enamel
_ Hoe Spanish genuine leather upholstery, removable rear
x seat-back, and optional wood or steel wheels are included
among many other features that commend themselves
\ ' forcefully to the buyer.
, Many who expected to buy a cheaper car, now find that
Dodge Brothers product is well within their means. Many . '
who had expected to buy something more expensive, now
find everything they could possibly desire in these smart
and dependable vehicles.
• > ' - -**""■ ■■ • * • ‘ .
See the cars for yourself—and mvestigate our atliycttlMC .
time-payment plan. ! ,
» <
, ' ■ • »•
, * ' * , /; ""t V
TourlngrCar - - - - • *795 ? \ m U*
Roadster - - * • - 795 .- r;
Coupe - -•----.045 w , 1
b. Detroit , , V-,'i
-.W'-V , ; 'i'*- ‘T ■ :■* ‘ * -*-»*--*
' SEMMES MOTOR CO. fp
RAPHAEL SEMMES, President . _
S Dupont Circle «ISGSt..N.W. 1707 14th St. N.W. \ r if |
2819 M St. N.W. ' 1424 Floridn Am NX. ' ‘
Main 6660—Night Phone, Main 1943 ’ a •
> y v' ; : r>: ' ‘ * ' V. • -v :■?*: H' i
' ?> . .
■ . € n
i f
THE StrtfeAY' STAR, WASHIKOTON, P. ft, JTIXY 11, 1926-PART' 3.",Evening star. [volume]
['Washington'],['District of Columbia'],19430924,sn83045462,"\ * 'it ■' 'is' •?/$
Silhouette Wats. .. add interest to costumes
i ■
:. * H ■ •.
—This autumn, your costume is slim
and narrow—the very essence of sim
plicity. For that reason, Fashion
gives the new hats their most excit
ing contours in many a season. Con
tours that provide the drama, the
dash, the individuality every woman
seeks. Inject the personality the un
derstated silhouette needs! You’ll
find new draping, the Chinese in
fluence and interesting brim lines re
flected in this collection of distinc
tive hats!
Millinery Shop
Kann's—Second floor.
•
Silhouette news in this dashing
new postillion siiit brim, with self
flowers covering its small brim.
Tailored in fine fur felt—_$8.50
Piquant silhouette, the
Dutch Bonnet with color
ful ostrich-tip trim. Black
fur felt_$6.95
“Queen
Original”...
.
A PERFECT TWO-PIECE
COSTUME DRESS
$29.95
—Look to “Queen Original” for distinctive interpretation of
the newest trends! For really fine fabrics and exquisite
workmanship. From the new fall series, we sketch a two
piece costume dress with a slimly fitted jacket in combination
colors ... russet brown with bronze green, black with tapestry
blue. Detailed with braid and fastened with clip buttons.
Zipper-placketed skirt with front pleats. Fine rayon crepe.
Sizes 12 to 20.
v Better Dress Shop—
Katin's—Second Floor.
Correct Understudy
for Slim Autumn
Frocks . . .
—The slim and narrow frocks
of the new season demand
the smoothest - fitting slips
ever! Depend upon Seam
prufe’s bias-cut, non-bias and
four-gore slips for just that
sort of perfection. Lace
trimmed or tailored, embroid
ered or fagoted ... adjustable
straps and guaranteed seams,
as always! Fine rayon satins
and crepes in tearose or
white. Sizes 32 to 40.
No mail, phono or C. 0, D. or don
Ksnnl Beoond Floor.
Dramatic fur felt Chinese Coolie •
Beret with striking dragon em
broidery and a swag of fine veiling
Strike a young, and beguiling
note with this pretty scalloped
edge bonnet! Done in a soft,
supple fur felt-$5.95
The Fur
T rimmed
TUXEDO
is ‘'The Coat
of the Year”
—There is no doubt about it, the coat
of the year is one with a fur tuxedo!
We have it in every important ver
sion . . . magnificently cut and tail
ored to slide easily over your suits.
Warm and wonderful all-wool fabrics
in reds, blues, greens, nude, brown
and black . . . with these furs: Bea
ver-dyed Coney—Seal-dyed Coney—
Dyed Persian Lamb—Blended Musk
rat—Tipped Skunk — Ocelot—Dyed
Squirrel. In sizes for misses, jun
iors and women. Priced from
Plui Tax $58 to $98
Second Floor. A
%
m
\
j
*
*
~~~ Diet. 7200
IN",Evening star. [volume]
['Wilmington'],['North Carolina'],19441202,sn78002169,"They gave us plenty.
Pearl Harbor... Wake... Bataan .. .Corregidor
... Java Sea ... Savo Island—the worst string of
defeats in America’s military history.
The Stars and Stripes hauled down on American
soil and the Rising Sun run up ... captured Ameri
can marines made to play coolie and haul grinning
Jap officers in rickshas—the Sons of Heaven have
handed us the bitterest medicine this nation ever
had to swallow.
NOW—LET’S GET ’EM!
Let’s pour it on them! Let’s shove the men, the
ships, the guns, and the planes over there in an
overwhelming, irresistible, avenging flood that will
wind up this Jap business fast, once and for all!
And let’s pay for that flood with the same grim
eagerness, the same deadly purpose that bur fight
ing men show in battle!
The 6th War Loan Drive is on. Let’s open our
purses—turn out our pockets—empty the sock.
Now, if never before, let’s make sure that we
buy at least one extra $100 War Bond.
From the pilot over Tokyo to the last housewife
on the Eastern Seaboard, let’s all of us, one hun
dred thirty million strong, rise up and give the
Sons of Heaven . . . hell!
And here are 6 more reasons for buying at least
an extra $100 War Bond in the 6th!
1. War Bonds are the best, the safest investment in the
world!
2. War Bonds return you $4 for every $3 at maturity.
\ 3. War Bonds are as convenient as cash—and increase in
value to boot!
4. War Bonds mean education for your children, security
for you, a nest egg to fall back on, come what may.
5. War Bonds help keep down the cost of living.
6. War Bonds will help win the Peace by increasing pur
chasing power after the war.
DON'T WAIT! AS SPONSORS WE URGE NEW HANOVER RESIDENTS TO BUY BONDS AND TOP GOAL OF $4,668,000 *
TODD
FURNITURE CO.
21 S. FRONT ST.
HUGGINS
125 PRINCESS ST.
HANOVER
IRON WORKS
HORACE T. F NG
MacMILLAN and
CAMERON COMPANY
115 NORTH THIRD ST.
k This is an official U. S. Treasury advertisement—prepared under auspices of Treasury Department and War Advertising Councili kf",The Wilmington morning star. [volume]
['Washington'],['District of Columbia'],19450829,sn83045462,"\
Budget Priced! But JVho IVould Guess!
LENBARRY CLASSICS
There's no mistaking a Lenbarry Classic . . . any
smart woman can tell at a glance the moment she
sees one. The nice little details (which mean so
f much for a good fit) . . . the clever styling . . . the
interesting accents . . . mark these Budget Priced
Classics. Here are only three of the new arrivals.
8,s
LANSBURGH’S—Daytime Dresses—Third Floor
(Sketched left to right):
Junior ""Softie,"" a darling little
rayon flannel classic with sweet
heart neckline trimmed with black
embroidery, lime, coral, aqua, winter
beige, 9-15-8.95
*
Winged Sleeve Look on a dressy aft
ernoon classic which also has a
flattering peplum-like front, rayon
crepe in black, brown, lilac, size3
10-18_8.95
Jumper Look in color contrast and
a neat-as-pin manner. Rayon crepe
in black with lime or soft aqua
color contrast, sizes 9 to 15_8.95
1
\-- A
Styled with Expensive Looking FeaturesI
These Glamorous Robes Make
LEISURE A LUXURY
u
' TEXTRON’S Rayon Satin
i .
; Quilted Leisure Robes
4
s
j i+-,!
* THE LONG OF IT is a
feather - weight quilted
housecoat with a generous
full skirt and side wrap
around. Luscious floral
prints in blue, white, pink,
sizes 12 to 20_14.95
THE SHORT OF IT is the
new Coolie coat with dra
matic slit sides and a car
digan neckline with frog
trim in color. White, blue,
pink with floral prints,
12-20 -14.95
LANSBURGH'S—Shop of
Leisure Fashions—
Third Floor
l v——- ^
ft i
Did You Sav MUSKRAT?
9/
Yes, Exquisitely
Blended Muskrat Is
Truly the Luxury
Fur of the Season!
Plus 20% Federal Tax
If you want a long lived
fur ... a fur which will
serve faithfully on every
fashion occasion ... a fur
for suits, date frocks, with
your sheer wools—then
an exquisitely blended
muskrat fur is the fur
you're looking for! Dur
able and beautiful, musk
rat in luxurious shades of
mink, sable or silvertone
is such a wise, safe invest
ment. Featured is one
from our new collection
of Southern Back Musk
rat coats in sizes 10 to 40.
LANS BURGH'S—Fur Salon
—Second Floor.
Select your coat now for October
delivery. Credit terms may be
arranged.
*
_SHOP THURSDAY, 12:30 PJM. TIL 0 P.M._
A J",Evening star. [volume]
['Washington'],['District of Columbia'],19430930,sn83045462,"FASHION'S NUMBER ONE COAT-HIT!.. 100% WOOLS
RIPPLING WITH “TUXEDOS” OF LUXURIOUS FURS!
The coats you're clamoring for . . . because . . . they're warm . . . they're smart
. . . they ""go with everything"" . . . they top your suits as well as dresses! . . . And
in handsome 100% woolens glorified with cascades of sumptuous furs . . . furred
tuxedos are a coat investment-plus! Sketched are but two beauties from J
The Hecht Co.'s outstanding tuxedo-coat collection. jj
(A) Sable-Dyed Squirrel Tuxedo . . silken
soft dark glowing fur on our exclusive
Rothmoor coat in handsome m m
100% wool. Teal or black; *JL4r®
sizes 12 to 18 in the group— Ku, i0% Tax
Better Coats, Third Floor, The Hecht Co.
(B) Ombre Baby Lamb Tuxedo . . . soft,
supple, grey fur on a 100% wool boxcoat
in green, blue or black. Sizes $68
14, 16 and 18 in the group..
resses
FEMININE FLATTERY FOR
“AFTER FIVE” . . . SEQUINS
The way you'll look tonight. . . fatally fem
inine in siren black—radiant with a blaze
of sequins! Sparklingly in tune with your
""going places"" evenings — dramatically
right for the times . . . because . . . these
utterly new date dresses are street-length.
Featured by The Hecht Co. (famous for new
fashions first) in ""body beautiful"" draped
l dresses — in sophisticated suit-dresses.
Scintillating Glitter... Black 1
. rayon crepe suit-dress spar- *
kling with six appliqued se
quin leaves. Sizes 14 to 20.
14.95
Siren Glitter . . . ""body
beautiful"" dress in black
rayon crepe with sheer yoke
glittering with sequin leaf
sprays and dangling grapes.
Sizes 12 to 20-29.95
SPARKLE FOR THE “SHINING HOUR” WHEN YOU
MEET “HIM” . . . HATS WITH GLITTER AND VEILS
s Hats to make ""his"" heart skip a beat . *■ . Hats
/ that bring a new radiance tp your face — a
I sparkling gleam to your eye! Because ... they're
J pert and piquant — they're bewitchingly be
veiled . . . but most of all because they're gleam
ing with nailheads or shimmering sequins or
i frivolous with velvet to make them irresistible
f ""date bait!"" All in sophisticated black.
Millinery, Third Floor, The Hecht Co.
* . - - . * '• •
I
Nailheod Fes . .. Perched, back
on your head, with flyaway
veil and sparkling nailheads.
5.95
Gay, Young Colot . . . saucy
skull-cap with fluttering veil
and rayon velvet loops in back.
5.95
Sequin-Studded ""Coolie"" . . .
sparkling charm for a woman
—this glitter-accented black
felt --5.95
MM ec/i/ Co..
r STREET 7th STREET. E STREET $AXlQHMui&S*",Evening star. [volume]
